run,run_start_timestamp,run_start_frame,run_end_timestamp,run_end_frame,toast_index,toast_timestamp,toast_frame,timer_text,timer_conf,toast_conf,template_name,timer_source
88,01:38:16.000,353760,01:38:55.983,356159,,,,,,,,
89,01:38:56.000,356160,01:39:23.983,357839,,,,,,,,
90,01:39:24.000,357840,01:39:55.983,359759,,,,,,,,
91,01:39:56.000,359760,01:40:21.983,361319,,,,,,,,
92,01:40:22.000,361320,01:40:45.983,362759,,,,,,,,
93,01:40:46.000,362760,01:41:53.983,366839,,,,,,,,
94,01:41:54.000,366840,01:45:27.983,379679,,,,,,,,
95,01:45:28.000,379680,01:50:59.983,399599,1,01:49:50.150,395409,04:06.353,0.6538,0.9776,toast1,anchor_refresh
96,01:51:00.000,399600,01:51:23.983,401039,,,,,,,,
97,01:51:24.000,401040,01:51:59.983,403199,,,,,,,,
98,01:52:00.000,403200,01:52:33.983,405239,,,,,,,,
99,01:52:34.000,405240,01:52:57.983,406679,,,,,,,,
100,01:52:58.000,406680,01:53:27.983,408479,,,,,,,,
101,01:53:28.000,408480,01:54:03.983,410639,,,,,,,,
102,01:54:04.000,410640,01:57:31.983,423119,1,01:57:05.617,421537,03:00.223,0.6685,0.9777,toast1,anchor_refresh
103,01:57:32.000,423120,02:00:57.983,435479,,,,,,,,
104,02:00:58.000,435480,02:01:25.983,437159,,,,,,,,
105,02:01:26.000,437160,02:01:49.983,438599,,,,,,,,
106,02:01:50.000,438600,02:02:33.983,441239,,,,,,,,
107,02:02:34.000,441240,02:03:03.983,443039,,,,,,,,
108,02:03:04.000,443040,02:03:39.983,445199,,,,,,,,
109,02:03:40.000,445200,02:04:27.983,448079,,,,,,,,
110,02:04:28.000,448080,02:05:07.983,450479,,,,,,,,
111,02:05:08.000,450480,02:06:05.983,453959,,,,,,,,
112,02:06:06.000,453960,02:06:45.983,456359,,,,,,,,
113,02:06:46.000,456360,02:09:41.983,466919,,,,,,,,
114,02:09:42.000,466920,02:10:17.983,469079,,,,,,,,
115,02:10:18.000,469080,02:10:37.983,470279,,,,,,,,
116,02:10:38.000,470280,02:11:17.983,472679,,,,,,,,
117,02:11:18.000,472680,02:11:55.983,474959,,,,,,,,
118,02:11:56.000,474960,02:12:21.983,476519,,,,,,,,
119,02:12:22.000,476520,02:12:41.983,477719,,,,,,,,
120,02:12:42.000,477720,02:13:45.983,481559,,,,,,,,
121,02:13:46.000,481560,02:14:09.983,482999,,,,,,,,
122,02:14:10.000,483000,02:14:43.983,485039,,,,,,,,
123,02:14:44.000,485040,02:15:59.983,489599,,,,,,,,
124,02:16:00.000,489600,02:16:19.983,490799,,,,,,,,
125,02:16:20.000,490800,02:17:09.983,493799,,,,,,,,
126,02:17:10.000,493800,02:17:49.983,496199,,,,,,,,
127,02:17:50.000,496200,02:18:15.983,497759,,,,,,,,
128,02:18:16.000,497760,02:18:35.983,498959,,,,,,,,
129,02:18:36.000,498960,02:19:11.983,501119,,,,,,,,
130,02:19:12.000,501120,02:19:49.983,503399,,,,,,,,
131,02:19:50.000,503400,02:20:13.983,504839,,,,,,,,
132,02:20:14.000,504840,02:20:35.983,506159,,,,,,,,
133,02:20:36.000,506160,02:23:41.983,517319,,,,,,,,
134,02:23:42.000,517320,02:24:35.983,520559,,,,,,,,
135,02:24:36.000,520560,02:25:03.983,522239,,,,,,,,
136,02:25:04.000,522240,02:25:27.983,523679,,,,,,,,
137,02:25:28.000,523680,02:26:01.983,525719,,,,,,,,
138,02:26:02.000,525720,02:26:21.983,526919,,,,,,,,
139,02:26:22.000,526920,02:27:01.983,529319,,,,,,,,
140,02:27:02.000,529320,02:27:21.983,530519,,,,,,,,
141,02:27:22.000,530520,02:27:55.983,532559,,,,,,,,
142,02:27:56.000,532560,02:28:31.983,534719,,,,,,,,
143,02:28:32.000,534720,02:28:51.983,535919,,,,,,,,
144,02:28:52.000,535920,02:29:41.983,538919,,,,,,,,
145,02:29:42.000,538920,02:31:51.983,546719,,,,,,,,
146,02:31:52.000,546720,02:32:25.983,548759,,,,,,,,
147,02:32:26.000,548760,02:32:53.983,550439,,,,,,,,
148,02:32:54.000,550440,02:33:17.983,551879,,,,,,,,
149,02:33:18.000,551880,02:33:41.983,553319,,,,,,,,
150,02:33:42.000,553320,02:34:09.983,554999,,,,,,,,
151,02:34:10.000,555000,02:34:33.983,556439,,,,,,,,
152,02:34:34.000,556440,02:39:41.983,574919,,,,,,,,
153,02:39:42.000,574920,02:40:07.983,576479,,,,,,,,
154,02:40:08.000,576480,02:51:27.983,617279,1,02:43:54.817,590089,03:29.596,0.6110,0.9784,toast1,anchor_refresh
154,02:40:08.000,576480,02:51:27.983,617279,2,02:46:11.500,598290,05:38.880,0.6288,0.9817,toast2,anchor_refresh
155,02:51:28.000,617280,02:52:05.983,619559,,,,,,,,
156,02:52:06.000,619560,02:52:27.983,620879,,,,,,,,
157,02:52:28.000,620880,02:52:49.983,622199,,,,,,,,
158,02:52:50.000,622200,02:53:35.983,624959,,,,,,,,
159,02:53:36.000,624960,02:53:55.983,626159,,,,,,,,
160,02:53:56.000,626160,03:04:27.983,664079,1,02:57:05.433,637526,02:58.516,0.6746,0.9774,toast1,anchor_refresh
160,02:53:56.000,626160,03:04:27.983,664079,2,02:58:10.400,641424,03:53.770,0.7212,0.9856,toast2,anchor_refresh
161,03:04:28.000,664080,03:05:05.983,666359,,,,,,,,
162,03:05:06.000,666360,03:05:37.983,668279,,,,,,,,
163,03:05:38.000,668280,03:09:41.983,682919,1,03:09:16.100,681366,03:37.448,0.7411,0.9781,toast1,anchor_refresh
164,03:09:42.000,682920,03:10:41.983,686519,,,,,,,,
165,03:10:42.000,686520,03:11:03.983,687839,,,,,,,,
166,03:11:04.000,687840,03:11:31.983,689519,,,,,,,,
167,03:11:32.000,689520,03:11:53.983,690839,,,,,,,,
168,03:11:54.000,690840,03:12:17.983,692279,,,,,,,,
169,03:12:18.000,692280,03:12:53.983,694439,,,,,,,,
170,03:12:54.000,694440,03:13:13.983,695639,,,,,,,,
171,03:13:14.000,695640,03:14:01.983,698519,,,,,,,,
172,03:14:02.000,698520,03:14:45.983,701159,,,,,,,,
173,03:14:46.000,701160,03:15:05.983,702359,,,,,,,,
174,03:15:06.000,702360,03:15:35.983,704159,,,,,,,,
175,03:15:36.000,704160,03:16:03.983,705839,,,,,,,,
176,03:16:04.000,705840,03:16:29.983,707399,,,,,,,,
177,03:16:30.000,707400,03:17:03.983,709439,,,,,,,,
178,03:17:04.000,709440,03:17:37.983,711479,,,,,,,,
179,03:17:38.000,711480,03:17:59.983,712799,,,,,,,,
180,03:18:00.000,712800,03:19:01.983,716519,,,,,,,,
