# Toast template matches for part538.mp4
# template=templates/we_need_to_go_template.png  min_score=0.55
# fps=60.0  total_frames=2185933
# 703 matches found

timestamp           frame    score
---------------- -------- --------
00:10:11.000        36660   0.9373
00:10:12.000        36720   0.9919
00:10:15.000        36900   0.9898
00:10:16.000        36960   0.9876
00:10:19.000        37140   0.9908
00:10:20.000        37200   0.9755
00:10:21.000        37260   0.9912
00:10:23.000        37380   0.9881
00:10:24.000        37440   0.9884
00:10:27.000        37620   0.9896
00:10:28.000        37680   0.9917
00:10:29.000        37740   0.9918
00:10:31.000        37860   0.9885
00:10:32.000        37920   0.9913
00:10:33.000        37980   0.9890
00:10:34.000        38040   0.9894
00:10:35.000        38100   0.9886
00:10:36.000        38160   0.9931
00:10:37.000        38220   0.9918
00:10:39.000        38340   0.9911
00:18:43.000        67380   0.9601
00:18:44.000        67440   0.9711
00:18:46.000        67560   0.9823
00:18:47.000        67620   0.9828
00:18:48.000        67680   0.9842
00:18:49.000        67740   0.9828
00:18:51.000        67860   0.9841
00:18:52.000        67920   0.9876
00:18:53.000        67980   0.9882
00:18:54.000        68040   0.9840
00:18:55.000        68100   0.9751
00:18:58.000        68280   0.9719
00:18:59.000        68340   0.9843
00:20:29.000        73740   0.9866
00:20:30.000        73800   0.9835
00:20:31.000        73860   0.9856
00:20:32.000        73920   0.9853
00:20:34.000        74040   0.9885
00:20:35.000        74100   0.9883
00:23:41.000        85260   0.9431
00:23:42.000        85320   0.9318
00:23:43.000        85380   0.9893
00:23:44.000        85440   0.9919
00:23:45.000        85500   0.9881
00:23:47.000        85620   0.9882
00:23:48.000        85680   0.9879
00:23:49.000        85740   0.9878
00:23:50.000        85800   0.9891
00:23:52.000        85920   0.9870
00:23:54.000        86040   0.9926
00:23:55.000        86100   0.9881
00:23:56.000        86160   0.9848
00:23:57.000        86220   0.9779
00:23:58.000        86280   0.9855
00:23:59.000        86340   0.7461
00:30:16.000       108960   0.9819
00:30:17.000       109020   0.9874
00:30:18.000       109080   0.9816
00:30:21.000       109260   0.9838
00:30:22.000       109320   0.9826
00:30:24.000       109440   0.9801
00:30:25.000       109500   0.9850
00:30:26.000       109560   0.9823
00:30:27.000       109620   0.9817
00:30:28.000       109680   0.9827
00:30:29.000       109740   0.9826
00:30:30.000       109800   0.9782
00:30:31.000       109860   0.9863
00:36:27.000       131220   0.9826
00:36:28.000       131280   0.9827
00:36:30.000       131400   0.9889
00:36:31.000       131460   0.9871
00:36:32.000       131520   0.9839
00:36:34.000       131640   0.9839
00:36:35.000       131700   0.9814
00:36:36.000       131760   0.9907
00:36:37.000       131820   0.9845
00:36:38.000       131880   0.9649
00:36:39.000       131940   0.9497
00:36:40.000       132000   0.9856
00:44:00.000       158400   0.9819
00:44:01.000       158460   0.9871
00:44:02.000       158520   0.9884
00:44:03.000       158580   0.9840
00:44:06.000       158760   0.9919
00:44:07.000       158820   0.9799
00:44:09.000       158940   0.9913
00:44:10.000       159000   0.9899
