run,run_start_timestamp,run_start_frame,run_end_timestamp,run_end_frame,toast_index,toast_timestamp,toast_frame,timer_text,timer_conf,toast_conf,template_name,timer_source
1,00:00:56.000,3360,00:01:15.983,4559,,,,,,,,
2,00:01:16.000,4560,00:01:35.983,5759,,,,,,,,
3,00:01:36.000,5760,00:01:59.983,7199,,,,,,,,
4,00:02:00.000,7200,00:05:01.983,18119,,,,,,,,
5,00:05:02.000,18120,00:05:57.983,21479,,,,,,,,
6,00:05:58.000,21480,00:06:19.983,22799,,,,,,,,
7,00:06:20.000,22800,00:09:09.983,32999,,,,,,,,
8,00:09:10.000,33000,00:09:39.983,34799,,,,,,,,
9,00:09:40.000,34800,00:10:01.983,36119,,,,,,,,
10,00:10:02.000,36120,00:10:25.983,37559,,,,,,,,
11,00:10:26.000,37560,00:11:33.983,41639,,,,,,,,
12,00:11:34.000,41640,00:11:57.983,43079,,,,,,,,
13,00:11:58.000,43080,00:12:21.983,44519,,,,,,,,
14,00:12:22.000,44520,00:12:41.983,45719,,,,,,,,
15,00:12:42.000,45720,00:13:33.983,48839,,,,,,,,
16,00:13:34.000,48840,00:14:15.983,51359,,,,,,,,
17,00:14:16.000,51360,00:17:13.983,62039,,,,,,,,
18,00:17:14.000,62040,00:17:51.983,64319,,,,,,,,
19,00:17:52.000,64320,00:23:17.983,83879,1,00:21:53.883,78833,03:49.200,0.6123,0.9777,toast1,anchor_refresh
20,00:23:18.000,83880,00:24:39.983,88799,,,,,,,,
21,00:24:40.000,88800,00:32:33.983,117239,1,00:27:18.367,98302,02:33.149,0.7118,0.9761,toast1,anchor_refresh
22,00:32:34.000,117240,00:32:57.983,118679,,,,,,,,
23,00:32:58.000,118680,00:33:27.983,120479,,,,,,,,
24,00:33:28.000,120480,00:34:13.983,123239,,,,,,,,
25,00:34:14.000,123240,00:34:39.983,124799,,,,,,,,
26,00:34:40.000,124800,00:35:33.983,128039,,,,,,,,
27,00:35:34.000,128040,00:36:19.983,130799,,,,,,,,
28,00:36:20.000,130800,00:37:09.983,133799,,,,,,,,
29,00:37:10.000,133800,00:38:05.983,137159,,,,,,,,
30,00:38:06.000,137160,00:38:47.983,139679,,,,,,,,
31,00:38:48.000,139680,00:39:29.983,142199,,,,,,,,
32,00:39:30.000,142200,00:40:01.983,144119,,,,,,,,
33,00:40:02.000,144120,00:44:17.983,159479,,,,,,,,
34,00:44:18.000,159480,00:45:01.983,162119,,,,,,,,
35,00:45:02.000,162120,00:50:39.983,182399,1,00:48:03.767,173026,02:49.850,0.6327,0.9763,toast1,anchor_refresh
36,00:50:40.000,182400,00:51:13.983,184439,,,,,,,,
37,00:51:14.000,184440,00:51:35.983,185759,,,,,,,,
38,00:51:36.000,185760,00:51:55.983,186959,,,,,,,,
39,00:51:56.000,186960,00:52:19.983,188399,,,,,,,,
40,00:52:20.000,188400,00:52:47.983,190079,,,,,,,,
41,00:52:48.000,190080,00:54:13.983,195239,,,,,,,,
42,00:54:14.000,195240,00:54:37.983,196679,,,,,,,,
43,00:54:38.000,196680,00:56:27.983,203279,,,,,,,,
44,00:56:28.000,203280,00:56:47.983,204479,,,,,,,,
45,00:56:48.000,204480,00:57:15.983,206159,,,,,,,,
46,00:57:16.000,206160,00:58:15.983,209759,,,,,,,,
47,00:58:16.000,209760,00:58:35.983,210959,,,,,,,,
48,00:58:36.000,210960,01:10:13.983,252839,1,01:02:20.883,224453,03:48.345,0.6609,0.9776,toast1,anchor_refresh
48,00:58:36.000,210960,01:10:13.983,252839,2,01:04:47.867,233272,05:51.992,0.6237,0.9836,toast2,anchor_refresh
49,01:10:14.000,252840,01:10:33.983,254039,,,,,,,,
50,01:10:34.000,254040,01:10:59.983,255599,,,,,,,,
51,01:11:00.000,255600,01:11:19.983,256799,,,,,,,,
52,01:11:20.000,256800,01:11:43.983,258239,,,,,,,,
53,01:11:44.000,258240,01:12:17.983,260279,,,,,,,,
54,01:12:18.000,260280,01:12:43.983,261839,,,,,,,,
55,01:12:44.000,261840,01:13:05.983,263159,,,,,,,,
56,01:13:06.000,263160,01:13:31.983,264719,,,,,,,,
57,01:13:32.000,264720,01:13:55.983,266159,,,,,,,,
58,01:13:56.000,266160,01:14:21.983,267719,,,,,,,,
59,01:14:22.000,267720,01:14:43.983,269039,,,,,,,,
60,01:14:44.000,269040,01:22:37.983,297479,1,01:17:55.517,280531,03:16.386,0.6946,0.9774,toast1,anchor_refresh
61,01:22:38.000,297480,01:23:07.983,299279,,,,,,,,
62,01:23:08.000,299280,01:23:53.983,302039,,,,,,,,
63,01:23:54.000,302040,01:24:15.983,303359,,,,,,,,
64,01:24:16.000,303360,01:24:41.983,304919,,,,,,,,
65,01:24:42.000,304920,01:25:03.983,306239,,,,,,,,
66,01:25:04.000,306240,01:27:03.983,313439,,,,,,,,
67,01:27:04.000,313440,01:27:37.983,315479,,,,,,,,
68,01:27:38.000,315480,01:28:01.983,316919,,,,,,,,
69,01:28:02.000,316920,01:28:31.983,318719,,,,,,,,
70,01:28:32.000,318720,01:29:01.983,320519,,,,,,,,
71,01:29:02.000,320520,01:29:39.983,322799,,,,,,,,
