run,run_start_timestamp,run_start_frame,run_end_timestamp,run_end_frame,toast_index,toast_timestamp,toast_frame,timer_text,timer_conf,toast_conf,template_name,timer_source
1,00:01:12.000,4320,00:06:25.983,23159,,,,,,,,
2,00:06:26.000,23160,00:07:09.983,25799,,,,,,,,
3,00:07:10.000,25800,00:10:45.983,38759,1,00:10:10.017,36601,03:01.099,0.6561,0.9777,toast1,anchor_refresh
4,00:10:46.000,38760,00:11:43.983,42239,,,,,,,,
5,00:11:44.000,42240,00:12:07.983,43679,,,,,,,,
6,00:12:08.000,43680,00:15:09.983,54599,,,,,,,,
7,00:15:10.000,54600,00:21:11.983,76319,1,00:18:42.333,67340,03:32.703,0.6954,0.9762,toast1,anchor_refresh
8,00:21:12.000,76320,00:24:37.983,88679,1,00:23:40.983,85259,02:15.895,0.6099,0.9790,toast1,anchor_refresh
9,00:24:38.000,88680,00:25:13.983,90839,,,,,,,,
10,00:25:14.000,90840,00:26:03.983,93839,,,,,,,,
11,00:26:04.000,93840,00:26:31.983,95519,,,,,,,,
12,00:26:32.000,95520,00:33:17.983,119879,1,00:30:15.733,108944,03:25.799,0.6528,0.9771,toast1,anchor_refresh
12,00:26:32.000,95520,00:33:17.983,119879,2,00:32:00.033,115202,05:03.872,0.6437,0.9854,toast2,anchor_refresh
13,00:33:18.000,119880,00:38:37.983,139079,1,00:36:26.400,131184,03:02.900,0.6463,0.9732,toast1,anchor_refresh
13,00:33:18.000,119880,00:38:37.983,139079,2,00:37:59.400,136764,04:31.502,0.6816,0.9857,toast2,anchor_refresh
14,00:38:38.000,139080,00:40:03.983,144239,,,,,,,,
15,00:40:04.000,144240,00:44:17.983,159479,1,00:43:59.567,158374,03:57.251,0.7230,0.9702,toast1,anchor_refresh
16,00:44:18.000,159480,00:48:43.983,175439,,,,,,,,
17,00:48:44.000,175440,00:49:13.983,177239,,,,,,,,
18,00:49:14.000,177240,00:49:39.983,178799,,,,,,,,
19,00:49:40.000,178800,00:50:19.983,181199,,,,,,,,
20,00:50:20.000,181200,00:50:59.983,183599,,,,,,,,
21,00:51:00.000,183600,00:51:41.983,186119,,,,,,,,
22,00:51:42.000,186120,00:53:15.983,191759,,,,,,,,
23,00:53:16.000,191760,00:53:41.983,193319,,,,,,,,
24,00:53:42.000,193320,00:54:31.983,196319,,,,,,,,
25,00:54:32.000,196320,00:55:19.983,199199,,,,,,,,
26,00:55:20.000,199200,00:55:47.983,200879,,,,,,,,
27,00:55:48.000,200880,00:56:59.983,205199,,,,,,,,
28,00:57:00.000,205200,00:57:19.983,206399,,,,,,,,
29,00:57:20.000,206400,00:57:57.983,208679,,,,,,,,
30,00:57:58.000,208680,00:58:23.983,210239,,,,,,,,
31,00:58:24.000,210240,01:01:29.983,221399,,,,,,,,
32,01:01:30.000,221400,01:02:01.983,223319,,,,,,,,
33,01:02:02.000,223320,01:02:49.983,226199,,,,,,,,
34,01:02:50.000,226200,01:03:19.983,227999,,,,,,,,
35,01:03:20.000,228000,01:03:39.983,229199,,,,,,,,
36,01:03:40.000,229200,01:04:31.983,232319,,,,,,,,
37,01:04:32.000,232320,01:05:07.983,234479,,,,,,,,
38,01:05:08.000,234480,01:08:59.983,248399,,,,,,,,
39,01:09:00.000,248400,01:10:43.983,254639,,,,,,,,
40,01:10:44.000,254640,01:11:11.983,256319,,,,,,,,
41,01:11:12.000,256320,01:15:17.983,271079,1,01:13:51.817,265909,02:39.947,0.6853,0.9777,toast1,anchor_refresh
42,01:15:18.000,271080,01:15:43.983,272639,,,,,,,,
43,01:15:44.000,272640,01:16:07.983,274079,,,,,,,,
44,01:16:08.000,274080,01:19:43.983,287039,1,01:19:16.117,285367,03:04.197,0.7544,0.9752,toast1,anchor_refresh
45,01:19:44.000,287040,01:22:35.983,297359,,,,,,,,
46,01:22:36.000,297360,01:22:59.983,298799,,,,,,,,
47,01:23:00.000,298800,01:24:33.983,304439,,,,,,,,
48,01:24:34.000,304440,01:28:47.983,319679,1,01:28:28.467,318508,03:44.899,0.7216,0.9771,toast1,anchor_refresh
49,01:28:48.000,319680,01:29:19.983,321599,,,,,,,,
50,01:29:20.000,321600,01:30:47.983,326879,,,,,,,,
51,01:30:48.000,326880,01:31:07.983,328079,,,,,,,,
52,01:31:08.000,328080,01:32:07.983,331679,,,,,,,,
53,01:32:08.000,331680,01:44:23.983,375839,1,01:35:06.717,342403,03:00.016,0.6874,0.9770,toast1,anchor_refresh
53,01:32:08.000,331680,01:44:23.983,375839,2,01:37:46.283,351977,05:30.784,0.7069,0.9869,toast2,anchor_refresh
53,01:32:08.000,331680,01:44:23.983,375839,3,01:43:06.700,371202,10:40.850,0.7410,0.9922,toast3,anchor_refresh
54,01:44:24.000,375840,01:49:31.983,394319,,,,,,,,
55,01:49:32.000,394320,01:49:51.983,395519,,,,,,,,
56,01:49:52.000,395520,01:53:45.983,409559,1,01:52:47.250,406035,02:56.443,0.7296,0.9776,toast1,anchor_refresh
57,01:53:46.000,409560,01:54:05.983,410759,,,,,,,,
58,01:54:06.000,410760,01:54:49.983,413399,,,,,,,,
59,01:54:50.000,413400,01:55:23.983,415439,,,,,,,,
60,01:55:24.000,415440,01:56:05.983,417959,,,,,,,,
61,01:56:06.000,417960,01:57:05.983,421559,,,,,,,,
62,01:57:06.000,421560,01:57:27.983,422879,,,,,,,,
